drug_name,promiscuity_index,smiles
cevimeline,5,CC1O[C@]2(CN3CCC2CC3)CS1
hexamidine,5,C1=CC(=CC=C1C(=N)N)OCCCCCCOC2=CC=C(C=C2)C(=N)N
hexocyclium,5,C[N+]1(CCN(CC1)CC(C2CCCCC2)(C3=CC=CC=C3)O)C
revefenacin,5,CN(CCN1CCC(CC1)OC(=O)NC2=CC=CC=C2C3=CC=CC=C3)C(=O)C4=CC=C(C=C4)CN5CCC(CC5)C(=O)N
repaglinide,5,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
etravirine,5,CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N
etomidate,5,CCOC(=O)C1=CN=CN1[C@H](C)C2=CC=CC=C2
terbinafine,5,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21
chlorzoxazone,5,C1=CC2=C(C=C1Cl)NC(=O)O2
phencyclidine,5,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3
modafinil,5,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
oxitriptan,5,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N
dequalinium,5,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C
tiratricol,5,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O
pentoxyverine,5,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2
azathioprine,5,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
pirlindole,5,CC1=CC2=C(C=C1)N3CCNC4C3=C2CCC4
indinavir,5,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
phenoxybenzamine,5,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
ascorbic acid,5,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
hydrochlorothiazide,5,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
homatropine,5,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O
histamine,5,C1=C(NC=N1)CCN
ethacrynic acid,5,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
rilmenidine,5,C1CC1C(C2CC2)NC3=NCCO3
tenidap,5,C1=CSC(=C1)C(=O)C2=C(N(C3=C2C=C(C=C3)Cl)C(=O)N)O
ethambutol,5,CC[C@@H](CO)NCCN[C@@H](CC)CO
teniposide,5,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O
bendroflumethiazide,5,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
trimipramine,5,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
siponimod,5,CCC1=C(C=CC(=C1)/C(=N/OCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O
solifenacin,5,C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5
somatostatin,5,C[C@H]([C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)[C@H](C)N)C(=O)O)CO)[C@@H](C)O)CC6=CC=CC=C6)O
benzthiazide,5,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
lorcainide,5,CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3
oxatomide,5,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5
delgocitinib,5,C[C@H]1CN([C@]12CCN(C2)C3=NC=NC4=C3C=CN4)C(=O)CC#N
vesnarinone,5,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC4=C(C=C3)NC(=O)CC4)OC
daunorubicinol,5,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)([C@H](C)O)O)N)O
hymecromone,5,CC1=CC(=O)OC2=C1C=CC(=C2)O
hyoscyamine,5,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3
phenylbutazone,5,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
phenyltoloxamine,5,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2
pilocarpine,5,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C
erythromycin,5,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
sodium aurothiomalate,5,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+]
mazindol,5,C1CN2C(=N1)C3=CC=CC=C3C2(C4=CC=C(C=C4)Cl)O
enprofylline,5,CCCN1C2=C(C(=O)NC1=O)NC=N2
enprostil,5,COC(=O)CCC=C=CC[C@H]1[C@@H]([C@H](CC1=O)O)/C=C/[C@@H](COC2=CC=CC=C2)O
silodosin,5,C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
erdafitinib,5,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC
encainide,5,CN1CCCCC1CCC2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC
cefotetan,5,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O
atracurium,5,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
atazanavir,5,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC
hydroxycarbamide,5,C(=O)(N)NO
epalrestat,5,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)O
trifluperidol,5,C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F
umeclidinium,5,C1C[N+]2(CCC1(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCOCC5=CC=CC=C5
oliceridine,5,COC1=C(SC=C1)CNCC[C@]2(CCOC3(C2)CCCC3)C4=CC=CC=N4
varenicline,5,C1[C@@H]2CNC[C@H]1C3=CC4=NC=CN=C4C=C23
uridine triphosphate,5,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
umbralisib,5,C[C@@H](C1=C(C(=O)C2=C(O1)C=CC(=C2)F)C3=CC(=CC=C3)F)N4C5=NC=NC(=C5C(=N4)C6=CC(=C(C=C6)OC(C)C)F)N
tiludronic acid,5,C1=CC(=CC=C1SC(P(=O)(O)O)P(=O)(O)O)Cl
valproic acid,5,CCCC(CCC)C(=O)O
meprobamate,5,CCCC(C)(COC(=O)N)COC(=O)N
pimecrolimus,5,CC[C@@H]1/C=C(/C[C@@H](C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]4CC[C@@H]([C@@H](C4)OC)Cl)/C)O)C)OC)OC)C)\C
empagliflozin,5,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl
dotinurad,5,C1N(C2=CC=CC=C2S1(=O)=O)C(=O)C3=CC(=C(C(=C3)Cl)O)Cl
diosmetin,5,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
rotigotine,5,CCCN(CCC1=CC=CS1)[C@H]2CCC3=C(C2)C=CC=C3O
aclidinium bromide,5,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
naloxone,5,C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O
warfarin,5,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
zolmitriptan,5,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3
aceclidine,5,CC(=O)OC1CN2CCC1CC2
acarbose,5,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO
naratriptan,5,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C
zuclopenthixol,5,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
zidovudine,4,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
(s)-nitrendipine,4,CCOC(=O)C1=C(NC(=C([C@@H]1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
voxelotor,4,CC(C)N1C(=CC=N1)C2=C(C=CC=N2)COC3=CC=CC(=C3C=O)O
selexipag,4,CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3
tiapride,4,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC
thalidomide,4,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
carbidopa,4,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
phenylalanine,4,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
imiquimod,4,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
indacaterol,4,CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
thiabendazole,4,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
ibudilast,4,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C
voriconazole,4,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
doconexent,4,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
emetine,4,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC
edetic acid,4,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
scopolamine butylbromide,4,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
selegiline,4,C[C@H](CC1=CC=CC=C1)N(C)CC#C
idebenone,4,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
timolol,4,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O
tipranavir,4,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4
tizanidine,4,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl
iprindole,4,CN(C)CCCN1C2=C(CCCCCC2)C3=CC=CC=C31
penbutolol,4,CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O
pentazocine,4,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C(C)C)C)C=C(C=C3)O
pentobarbital,4,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
pentoxifylline,4,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
hydroxyzine,4,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
moxonidine,4,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC
diphenylpyraline,4,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3
digoxin,4,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
roxadustat,4,CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3
mozavaptan,4,CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)N3CCCC(C4=CC=CC=C43)N(C)C
vinburnine,4,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2
vincamine,4,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O
phenylephrine,4,CNC[C@@H](C1=CC(=CC=C1)O)O
picrotin,4,C[C@@]12[C@H]3[C@H]4[C@H]([C@@H]([C@@]1(C[C@@H]5[C@]2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O
carmofur,4,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
bufuralol,4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O
bumetanide,4,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
bunazosin,4,CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
ivabradine,4,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@H]3CC4=CC(=C(C=C34)OC)OC
ketobemidone,4,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O
setmelanotide,4,C[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)C(=O)N)CC2=CNC3=CC=CC=C32)CCCN=C(N)N)CC4=CC=CC=C4)CC5=CN=CN5
epoprostenol,4,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O)O
rofecoxib,4,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
roflumilast,4,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F
vernakalant,4,COC1=C(C=C(C=C1)CCO[C@@H]2CCCC[C@H]2N3CC[C@H](C3)O)OC
misoprostol,4,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O
moclobemide,4,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
monobenzone,4,C1=CC=C(C=C1)COC2=CC=C(C=C2)O
morphine,4,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O
pemigatinib,4,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5
tolcapone,4,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
pipecuronium,4,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CC[N+](CC4)(C)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)N6CC[N+](CC6)(C)C)C
phenylbutanoic acid,4,C1=CC=C(C=C1)CCCC(=O)O
cefsulodin,4,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)S(=O)(=O)O)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N
blonanserin,4,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F
bosentan,4,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
brexanolone,4,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
dilevalol,4,C[C@H](CCC1=CC=CC=C1)NC[C@@H](C2=CC(=C(C=C2)O)C(=O)N)O
estazolam,4,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
ambroxol,4,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
milnacipran,4,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2
nifekalant,4,CN1C(=CC(=O)N(C1=O)C)NCCN(CCCC2=CC=C(C=C2)[N+](=O)[O-])CCO
nilvadipine,4,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C
eperisone,4,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2
temsirolimus,4,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC
chlorambucil,4,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
hexamethonium,4,C[N+](C)(C)CCCCCC[N+](C)(C)C
hexobarbital,4,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
paraoxon,4,CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
pasireotide,4,C1[C@H](CN2[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN
dexamethasone palmitate,4,CCCCCCCCCCCCCCCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)O
dexamethasone phosphate,4,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C
dexamethasone valerate,4,CCCCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO
alosetron,4,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
amlexanox,4,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
amodiaquine,4,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
vildagliptin,4,C1C[C@H](N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N
alpelisib,4,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
digitoxin,4,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O
bifonazole,4,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
levetiracetam,4,CC[C@@H](C(=O)N)N1CCCC1=O
levosimendan,4,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N
cimetidine,4,CC1=C(N=CN1)CSCCNC(=NC)NC#N
pitolisant,4,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl
chloroxine,4,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
bethanechol,4,CC(C[N+](C)(C)C)OC(=O)N
levosulpiride,4,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
linagliptin,4,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C
oxyphenbutazone,4,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
dexfosfoserine,4,C([C@@H](C(=O)O)N)OP(=O)(O)O
dexibuprofen,4,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O
desmopressin,4,C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N
ethanol,4,CCO
dichloroacetic acid,4,C(C(=O)O)(Cl)Cl
estramustine phosphate,4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
furtrethonium,4,C[N+](C)(C)CC1=CC=CO1
pralatrexate,4,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
pranlukast,4,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5
oxyquinoline,4,C1=CC2=C(C(=C1)O)N=CC=C2
lonafarnib,4,C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N
etidocaine,4,CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C
retigabine,4,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N
etizolam,4,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C
etoperidone,4,CCC1=NN(C(=O)N1CC)CCCN2CCN(CC2)C3=CC(=CC=C3)Cl
etoricoxib,4,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
amrinone,4,C1=CN=CC=C1C2=CNC(=O)C(=C2)N
anagliptin,4,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N
nitroxoline,4,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-]
gallamine,4,CCN(CC)CCOC1=C(C(=CC=C1)OCCN(CC)CC)OCCN(CC)CC
ponesimod,4,CCCN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2)OC[C@@H](CO)O)Cl)/S1)C3=CC=CC=C3C
benzphetamine,4,C[C@@H](CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
benzylsulfamide,4,C1=CC=C(C=C1)CNC2=CC=C(C=C2)S(=O)(=O)N
tretoquinol,4,COC1=CC(=CC(=C1OC)OC)C[C@H]2C3=CC(=C(C=C3CCN2)O)O
loprazolam,4,CN1CCN(CC1)/C=C\2/C(=O)N3C(=N2)CN=C(C4=C3C=CC(=C4)[N+](=O)[O-])C5=CC=CC=C5Cl
lorcaserin,4,C[C@H]1CNCCC2=C1C=C(C=C2)Cl
tadalafil,4,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
rasagiline,4,C#CCN[C@@H]1CCC2=CC=CC=C12
regadenoson,4,CNC(=O)C1=CN(N=C1)C2=NC(=C3C(=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N
apraclonidine,4,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
apremilast,4,CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC
ofloxacin,4,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
methylnaltrexone,4,C[N+]1(CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6
tafamidis,4,C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl
talinolol,4,CC(C)(C)NCC(COC1=CC=C(C=C1)NC(=O)NC2CCCCC2)O
fostamatinib,4,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C
benserazide,4,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O
benzamycin,4,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@@H]3[C@H]([C@@H](C[C@@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O.C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
lofexidine,4,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl
baicalin,4,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O
balsalazide,4,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O
bambuterol,4,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O
stearic acid,4,CCCCCCCCCCCCCCCCCC(=O)O
